No.,名前,生年月日,身長,体重,投,打,応援歌
00,山本　泰寛,,,,,,打て巧みな技で　見せろ不屈の闘志　立ち向かえ強く　山本泰寛　「かっとばせー　やーまーもとー」
0,木浪　聖也,,,,,,熱き心　乗せたスイング　行（ゆ）くぞ　木浪　勝利目指せ　「かっとばせー　きーなーみー」
1,森下　翔太,,,,,,夢つかめ　豪快なパワー　渾身のフルスイング　翔けろ　森下　「かっとばせー　もーりーしたー」
2,梅野　隆太郎,,,,,,気迫のスイング　燃えろよ梅野　どでかいアーチ　勝利への一撃　「かっとばせー　うーめーのー」
3,大山　悠輔,,,,,,悠然と振り構えたバットに　我らの夢を乗せて　スタンドへはじき返せ　栄光つかむ　その日まで　「かっとばせー　おーおーやまー」
5,近本　光司,,,,,,切り拓け　勝利への道　打て　グラウンド駆けろ　燃えろ　近本　「かっとばせー　ちーかーもとー」
7,シェルドン・ノイジー,,,,,,ラララ　レッツゴー　シェルドン　ラララ　レッツゴー　シェルドン　Go to ビクトリー　シェルドン　ノイジー　豪打炸裂　飛ばせシェルドン　勝利導け　Go to ビクトリー　「シェルドン　シェルドン」
8,佐藤　輝明,,,,,,突き進め　さあ行（ゆ）こう　勝利に向かって　振り抜け　輝け　打て　輝明（てるあき）　「かっとばせー　てーるー」
9,髙山　俊,,,,,,行くぞ白球乗せて　切り拓け　魅（み）せろ髙山　熱き　猛虎魂　「かっとばせー　たーかーやまー」
12,坂本　誠志郎,,,,,,狙いを定め　強気で攻めろ　お前の時代を築け　さぁぶちかませ　「かっとばせー　さーかーもとー」
26,北條　史也,,,,,,この道の先には　虎の希望がある　今こそ進めよ　燃えろ北條　「かっとばせー　ほーうーじょー」
33,糸原　健斗,,,,,,誰にも劣らぬ　ハートの強い男　我武者羅に走り抜け　果敢な戦士　「いーとーはらー　いーとーはらー　いーとーはらー」　凛々しく　泥臭く　斬り込め全力で　気力込めて　今ここで　燃えさかれ　「かっとばせー　いーとーはらー」
51,中野　拓夢,,,,,,強い気持ちで　勝利を目指せ中野　さあ夢を拓け　打て走れ中野　「なーかーのー　なーかーのー」
53,島田　海吏,,,,,,さあ行(ゆ)け快足で　チャンスをつかめ　島田海吏　そのスピードで　勝利へ駆けろ　「しーまーだー　しーまーだー」
55,ヨハン・ミエセス,,,,,,(ファンファーレ)　(メロディに合わせて)　ラーラーラー　打球は一直線　スタンド突き刺さる　ホームラン　ミエセス　ララララーラーラー　「バモス！　ヨハン！　ミエセス！」×2
94,原口　文仁,,,,,,ここに立つ為に　鍛え抜いた日々よ　原口のすべて　魅（み）せろ　奮（ふる）わせろ　「かっとばせー　はーらーぐちー」
