No.,名前,生年月日,身長,体重,投,打,応援歌
1,栗山　巧,,,,,,勝利に向かって　進め今こそ　⽣み出せチャンスを　いざ栗⼭
2,岡田　雅利,,,,,,魅せろ岡⽥　打ちまくれ　プライドかけて熱くなれ　敵を蹴散らせ　薙ぎ倒せ　度胸魅せろ岡⽥
3,山川　穂高,,,,,,⼭川穂⾼ここで⼀発　⾼らかにアーチ描こうぜ　皆の願いバットにのせて　⾶ばせ遥か彼⽅まで　やまかわ　やまかわ　やまかわ　ほたか×2
5,外崎　修汰,,,,,,駆け上がれ　夢の舞台へ　無我夢中に　⾛れ早く　みてみたいな　夢中になれる君　いくぞ前進　その先へと　ラ　ラーラ　ラ　ラーラ　とのさきしゅうた×3
6,源田　壮亮,,,,,,（この場所で輝け　魅せろ壮亮）　泥にまみれて　培った　今ここで魅せろ　源⽥の⼒
7,金子　侑司,,,,,,（ラーラララー　ラーラララーラー　ラーラララー　ラララー　かねこ︕）　⾛れ⾦⼦︕　さあ⼀歩踏み出してその瞬間（とき）をつかめ　(かねこ︕)
9,蛭間　拓哉,,,,,,狙い澄ました技で　全てを懸けて　描いた道を拓け　蛭間獅⼦となれ
22,古賀　悠斗,,,,,,頂への道を　その⼿で掴め　強肩強打の勇姿で　導いてくれ
35,若林　楽人,,,,,,栄光への道　君が切り拓け　あの頂⽬指して　⾛り出す瞬間
37,柘植　世那,,,,,,鍛えた努⼒を胸に　闘志を燃やして　打ちまくれ守り抜け　獅⼦の男　柘植世那
39,呉　念庭,,,,,,我らの願いを背に　（安打︕呉念庭）　渋く熱く魅せてくれ　さぁ今だ決めてやれ　（呉念庭　加油︕）
46,鈴木　将平,,,,,,光目指し走り　いま大空へ飛び立つ　華麗に風邪を切れ　期待を乗せて
52,陽川　尚将,,,,,,浪速魂たぎらせて　秘めたるパワーぶちかませ　この地でチャンス掴み取れ　気迫の⼀打魅せてくれ
53,愛斗,,,,,,溢れ出す野生感　怪力見せつけて　グラウンドで暴れ回る　男の名は愛斗
60,中村　剛也,,,,,,その胸を焦がす　炎のままに　気迫で打ち抜くんだ　バックスクリーン
68,岸　潤一郎,,,,,,飛ばせ彼方へ　駆けろ夢のその先へ　まことの道を　拓き進め岸潤一郎
