No.	名前	生年月日	身長	体重	投	打	応援歌
1	風間　球打	2003.10.11	184	92	右	左	未反映
2	スチュワート・ジュニア	1999.11.02	198	101	右	右	未反映
11	津森　宥紀	1998.01.21	176	84	右	右	未反映
14	又吉　克樹	1990.11.04	177	69	右	右	未反映
16	東浜　巨	1990.06.20	182	82	右	右	立ち向かえよ　勝利の為　この地に今輝いて　高み目指せ
17	有原　航平	1992.08.11	188	95	右	右	未反映
18	武田　翔太	1993.04.03	186	90	右	右	立ち向かえ　気持ち込め　腕を振り抜け　速い球　切れる球　勝利を決めろ
20	甲斐野　央	1996.11.16	188	92	右	左	変幻自在に繰り出すボール　豪腕見せつけ　決めろよ甲斐野
21	和田　毅	1981.02.21	179	80	左	左	しなる左を武器に　和田が魅せる舞台　麗な腕が魅せる　誰も打てぬ球を
26	大津　亮介	1999.01.13	175	63	右	左	未反映
27	ガンケル	1991.12.30	199	101	右	右	未反映
28	高橋　礼	1995.11.02	187	87	右	右	相手を狂わす　サブマリン投法　緩急つけて　敵を封じ込む
29	石川　柊太	1991.12.27	185	90	右	右	燃えろ　いざ心決めマウンド上がり　その腕を振り抜いて　相手を打ち取れ
34	椎野　新	1995.10.10	196	91	右	右	投げ下ろすその球　決めてやれ　キレあるその球で　星を掴め
35	モイネロ	1995.12.08	178	69	左	左	未反映
38	森　唯斗	1992.01.08	175	91	右	右	燃え上がる胸と　スタンドの声で　その腕振り下ろし　輝け唯斗
39	尾形　崇斗	1999.05.15	182	84	右	左	未反映
40	杉山　一樹	1997.12.07	193	102	右	右	高い位置から　速いボールで　敵を追い込み　勝利を掴め
42	大関　友久	1997.12.14	184	94	左	左	未反映
47	髙橋　純平	1997.05.08	184	86	右	右	勝利を目指してその腕　強く振り下ろせ　拳を上げろ　空高く
48	藤井　皓哉	1996.07.29	183	87	右	左	未反映
49	松本　晴	2001.02.24	181	83	左	左	未反映
50	板東　湧梧	1995.12.27	182	81	右	右	女神の微笑みは　きっとあるから　握るボール　決まるコース　敵を打ち取れ
53	泉　圭輔	1997.03.02	188	78	右	右	未来の星をつかむ　気持ちを胸に決めて　今だ泉　空に羽ばたけ
54	オスナ	1995.02.07	188	104	右	右	未反映
56	田浦　文丸	1999.09.21	168	80	左	左	決める　気持ちだけだ　一筋の　道行き戦え
57	嘉弥真　新也	1989.11.23	172	70	左	左	伸びる球と切れの効いたスライダー　その球を誰も打てはしない
58	木村　大成	2003.09.12	180	81	左	左	未反映
60	大野　稼頭央	2004.08.06	175	66	左	左	
61	ヘルナンデス	1996.12.17	188	115	左	左	
63	古川　侑利	1995.09.08	178	86	右	右	未反映
66	松本　裕樹	1996.04.14	182	87	右	左	胸元突き刺す　速い球みせ　決めろその球で　敵を討ち取れ
67	笠谷　俊介	1997.03.17	173	73	左	左	どんな時も戦え　熱く燃えて　今だ見せろ　刺さるボール
68	木村　光	2000.07.02	173	69	右	左	未反映
70	田上　奏大	2002.11.26	186	90	右	左	未反映
12	嶺井　博希	1991.06.04	175	85	右	右	高み目指す男よ　立ち上がれさぁ　嶺井博希今こそ　強く闘え
19	甲斐　拓也	1992.11.05	170	87	右	右	巡ったチャンスを　その手で掴みとれ　拓也今ここで　見せてやれ
22	牧原　巧汰	2002.07.13	175	83	右	左	未反映
45	谷川原　健太	1997.04.16	174	86	右	左	強く振り抜け　そのバットで　遥か彼方の空へ　飛ばせ健太
62	海野　隆司	1997.07.15	173	83	右	右	未反映
64	吉田　賢吾	2001.01.18	180	87	右	右	未反映
65	九鬼　隆平	1998.09.05	180	78	右	右	夢と希望をその胸に　未知のパワーで突き進め　強く振り抜け九鬼隆平　空に羽ばたけ
79	渡邉　陸	2000.09.24	187	86	右	左	未反映
00	川瀬　晃	1997.09.15	176	70	右	左	風の如く駆け抜け　グラブ捌き魅せるぜ　快音を響かせ　バットも魅せるぜ
0	ガルビス	1989.11.14	178	86	右	左右	メジャーの意地プライド　見せてくれ　今こそ目覚めの　アーチを放て
4	アストゥディーヨ	1991.10.14	175	102	右	右	海の向こうから　この地に舞い降り　チームの勝利へ　打てトルトゥーガ
6	今宮　健太	1991.07.15	173	80	右	右	生まれ持つセンス　風を切り走れ　空高く飛ばせ　柔らかなリストで
8	牧原　大成	1992.10.15	172	73	右	左	みなぎるそのエナジー　轟け地の果てまで 縦横無尽に駆け抜け　男になれ
13	三森　大貴	1999.02.21	185	76	右	左	今だ一振り強いスイング　狙い定めて打ち　ホームベース目指して　三森よ駆け抜けろ
23	周東　佑京	1996.02.10	180	71	右	左	たゆまぬ努力で さぁ時代を築け 志ひとつに 行けスピードソルジャー
33	増田　珠	1999.05.21	179	84	右	右	熱く燃える姿　見せろよ男の　意地とプライドをかけて　フィールドで羽ばたけ
36	イヒネ　イツア	2004.09.02	184	78	右	左	未反映
43	井上　朋也	2003.01.28	181	88	右	右	未反映
46	川原田　純平	2002.05.21	168	70	右	右	未反映
52	リチャード	1999.06.18	189	123	右	右	積み重ねたものは　惜しまぬ努力の成果　琉球の夢を乗せ　放てよ鮮やかに
55	野村　大樹	2000.09.10	171	84	右	右	腕突き上げボールを　飛ばせ我らの大砲　その不屈の精神　野村大樹よ輝け
99	野村　勇	1996.12.01	175	83	右	右	ここで見せろ力強く　敵を凌駕する一撃　全速前進フルスピードで　勇ましく走れ
3	近藤　健介	1993.08.09	171	86	右	左	極めた技で　打球が冴え渡る　遥か夢追い求めて　頂へと進め
7	中村　晃	1989.11.05	175	80	左	左	新たな扉を　今から開け　愛する男さ　中村晃
9	柳田　悠岐	1988.10.09	188	93	右	左	光のような足と　突き刺すようなスロー　いざ一振り決めて 輝け柳田
10	ホーキンス	1993.11.12	190	111	右	右	規格外のパワー　見せつけるぞホーク　勝利への一打を　今ここで飛ばせ
24	栗原　陵矢	1996.07.04	179	82	右	左	輝く時だ　後世に語り継がれる　伝説を今から　作れよ栗原
25	デスパイネ	1986.06.17	175	95	右	右	果てしない弾道　空へ放ち　敵砕け勝利呼べ　デスパイネ
30	佐藤　直樹	1998.09.03	177	88	右	右	未反映
31	正木　智也	1999.11.05	182	89	右	右	未反映
32	柳町　達	1997.04.20	180	79	右	左	熾烈な争いを 勝ち上がる為 闘う男の一振り 華麗に打ち捌け
37	生海	2000.07.11	184	95	右	左	未反映
44	笹川　吉康	2002.05.31	194	92	左	左	未反映
51	上林　誠知	1995.08.01	185	90	右	左	叩けボールをミートで　広く打ち分け遠くへ　スピード生かして　目指せホームベースを
59	水谷　瞬	2001.03.09	193	99	右	右	風を切り裂く　快足飛ばせ　今ここで水谷　光 瞬(またた)け

