No.,名前,生年月日,身長,体重,投,打,応援歌
00,奥村　展征,,,,,,見せろ勝利へと誘う　熱いプレー　放て気持ち込めて　恵まれしセンスで　「かっとばせー！奥村！」
1,山田　哲人,,,,,,(前奏：「山田哲人！」「山田哲人！」　夢へと続く道　「山田！」)　スタンド越えて打球は　遥かな夢へと続く　行け山田　新たな時代を　「かっとばせー！山田！」
3,西浦　直亨,,,,,,道を切り開くため　迷わず立ち向かう　光り輝く未来目指し　今踏み出せ　「かっとばせー！西浦！」
5,川端　慎吾,,,,,,バットに夢をのせ　放つその打球で　ツバメを勝利へ　導け慎吾　「かっとばせー！川端！」
6,元山　飛優,,,,,,栄光導く　杜の主役　緑へ染まる大地　さあ飛び立とう　「かっとばせー！元山！」
7,長岡　秀樹,,,,,,お前の為に　叫び続ける　永遠(とわ)に輝け　漢の生き様　「かっとばせー！長岡！」
9,塩見　泰隆,,,,,,宿す魂　その剣(つるぎ)に乗せ　風を切り裂き　鮮やかに駆ける　「かっとばせー！塩見！」
10,荒木　貴裕,,,,,,君の熱い思いと　スタンドの期待を乗せた　打球が描く軌道は　夢への懸け橋　「かっとばせー！荒木！」
13,ホセ・オスナ,,,,,,栄光への道　君が切り拓け　あの頂⽬指して　⾛り出す瞬間（ファンファーレ：ここまで飛ばせ　オスナ　ホームラン　ホームラン　オスナ）「オスナ！」　さぁさ鍛えた肉体と　荒ぶる魂で　ツバメを救え　「ホセ！」　ファイティングパワー　「ゴーゴーレッツゴー！オスナ！」
23,青木　宣親,,,,,,(ファンファーレ：ここで勝利を呼べ　行くぞ青木宣親　「青木！」)　皆と共に　描いた未来を掴むため　愛すチームで　更なる伝説築け　「打て！打て！青木！　打て！打て！青木！」
25,ドミンゴ・サンタナ,,,,,,割れんばかりの歓声を　背に受け挑めよ「ショウミンゴ！」　勝利を呼び込む一振りで　皆の夢を掴み取れ　「ゴーゴーレッツゴー！ミンゴ！」
27,中村　悠平,,,,,,君が受けるその球に　込められし思い　皆が夢見続けてきた　歓喜の時さ　「かっとばせー！中村！」
30,西田　明央,,,,,,君の力が　希望もたらす　勝利へ向かって　放て明央　「かっとばせー！西田！」
31,山崎　晃大朗,,,,,,光求め駆け抜ける　その誇り胸に　頂を目指し進めよ　山崎晃大朗　「かっとばせー！山崎！」
33,内山　壮真,,,,,,大空彩る　壮麗な華を　未だ見ぬ景色の先へ　描けよ壮真　「かっとばせー！壮真！」
39,宮本　丈,,,,,,飛ばせ彼方へ　駆けろ夢のその先へ　まことの道を　拓き進め岸潤一郎渾身の一振りが今　勝利を決める　ここで放て大空へ　行くぞ丈　「かっとばせー！宮本！」
46,太田　賢吾,,,,,,勝利を信じる声が　こだまするこの地で　今光る君の一打　快音を響かせて　「かっとばせー！太田！」
51,濱田　太貴,,,,,,衝撃が今　突き刺さる　痺れる勇姿を　刻み込め　「かっとばせー！濱田！」
55,村上　宗隆,,,,,,(前奏：闘志あふれる一打　今こそ放てよ「村上！村上！村上！村上！」)　選ばれし猛者集う地で　強く咲く大輪　肥後より携えし力　今こそ解き放て　「かっとばせー！村上！」
57,古賀　優大,,,,,,溢れる情熱　心奮わす　ホームを守る　最後の砦となれ　「かっとばせー！優大！」
